-0.086,0.343,0.922 
-0.102,0.349,0.944 
-0.111,0.343,0.941 
-0.110,0.340,0.938 
-0.111,0.344,0.913 
-0.130,0.349,0.908 
-0.132,0.354,0.906 
-0.158,0.374,0.904 
-0.170,0.380,0.914 
-0.180,0.399,0.922 
-0.203,0.421,0.936 
-0.221,0.432,0.967 
-0.214,0.428,0.985 
-0.183,0.435,0.965 
-0.169,0.438,0.940 
-0.174,0.429,0.907 
-0.191,0.415,0.889 
-0.198,0.393,0.884 
-0.180,0.361,0.868 
-0.171,0.362,0.877 
-0.199,0.351,0.866 
-0.190,0.373,0.887 
-0.165,0.369,0.972 
-0.182,0.354,1.041 
-0.081,0.369,1.067 
0.001,0.358,0.948 
0.015,0.381,0.886 
0.016,0.399,0.811 
-0.044,0.418,0.761 
-0.088,0.429,0.753 
-0.134,0.409,0.768 
-0.183,0.406,0.807 
-0.095,0.418,0.789 
-0.083,0.428,0.773 
-0.062,0.432,0.797 
-0.034,0.427,0.846 
-0.008,0.409,0.915 
0.013,0.374,0.991 
0.027,0.329,1.065 
0.014,0.269,1.148 
0.009,0.213,1.148 
0.018,0.164,1.064 
0.003,0.152,1.015 
-0.051,0.152,0.998 
-0.132,0.150,1.019 
-0.072,0.175,1.043 
-0.002,0.237,1.012 
0.020,0.281,1.018 
0.045,0.278,1.055 
0.099,0.300,1.146 
0.054,0.269,1.270 
0.111,0.229,1.281 
0.182,0.208,1.237 
0.169,0.192,1.184 
0.149,0.193,1.065 
0.132,0.225,0.942 
0.102,0.253,0.854 
0.060,0.268,0.796 
0.016,0.269,0.778 
-0.083,0.243,0.802 
-0.049,0.211,0.768 
0.030,0.193,0.712 
0.031,0.195,0.715 
-0.032,0.191,0.766 
-0.017,0.213,0.777 
0.020,0.236,0.781 
-0.005,0.251,0.836 
-0.045,0.277,0.920 
-0.049,0.298,0.945 
-0.026,0.322,0.972 
-0.044,0.344,0.974 
-0.073,0.372,1.021 
-0.100,0.378,1.052 
-0.101,0.403,1.079 
-0.120,0.407,1.096 
-0.178,0.393,1.119 
-0.176,0.380,1.141 
-0.219,0.364,1.197 
-0.237,0.312,1.254 
-0.188,0.252,1.231 
-0.113,0.193,1.050 
-0.008,0.216,0.780 
-0.046,0.275,0.699 
-0.150,0.324,0.691 
-0.243,0.343,0.700 
-0.254,0.366,0.765 
-0.256,0.312,1.128 
-0.175,0.219,1.147 
-0.015,0.170,1.060 
0.062,0.176,0.979 
0.044,0.185,0.914 
0.008,0.173,0.801 
-0.075,0.212,0.730 
-0.103,0.269,0.713 
-0.126,0.303,0.693 
-0.137,0.311,0.696 
-0.081,0.331,0.715 
-0.020,0.347,0.731 
-0.013,0.357,0.790 
-0.021,0.353,0.866 
-0.041,0.354,0.923 
-0.047,0.339,1.038 
-0.055,0.316,1.120 
-0.049,0.326,1.134 
-0.031,0.337,1.121 
-0.046,0.316,1.176 
-0.083,0.290,1.272 
-0.087,0.292,1.316 
